Date,User,Text,Link
"March 05, 2018 at 09:37PM",@realDonaldTrump,"It’s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just don’t care. Where are they? We are ready to make a deal!",http://twitter.com/realDonaldTrump/status/970760324126212096
"March 06, 2018 at 01:55PM",@realDonaldTrump,"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I want strong dialogue before making a final decision. I still have some people that I want to change (always seeking perfection). There is no Chaos, only great Energy!",http://twitter.com/realDonaldTrump/status/971006379375972354
"March 06, 2018 at 02:00PM",@realDonaldTrump,Total inaction on DACA by Dems. Where are you? A deal can be made!,http://twitter.com/realDonaldTrump/status/971007733313961984
"March 06, 2018 at 02:02PM",@realDonaldTrump,We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr,http://twitter.com/realDonaldTrump/status/971008238673068038
"March 06, 2018 at 02:05PM",@realDonaldTrump,We will see what happens! https://t.co/Y1qxoAUfd9,http://twitter.com/realDonaldTrump/status/971008891751485440
"March 06, 2018 at 02:07PM",@realDonaldTrump,"RT @EricTrump: Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2nd respectively. CNN has become totally irrelevant, down 19% from last year with only 1 show in the Top 25 (#24th). https://t.co/5IcwYEbFRR",http://twitter.com/realDonaldTrump/status/971009285181276160
"March 06, 2018 at 02:25PM",@realDonaldTrump,"Lowest rated Oscars in HISTORY. Problem is, we don’t have Stars anymore - except your President (just kidding, of course)!",http://twitter.com/realDonaldTrump/status/971013841395027968
"March 06, 2018 at 02:46PM",@realDonaldTrump,"Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 years to fix this problem, and didn’t. I am waiting for the Dems, they are running for the hills!",http://twitter.com/realDonaldTrump/status/971019306388611073
"March 06, 2018 at 03:11PM",@realDonaldTrump,"Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being made by all parties concerned. The World is watching and waiting! May be false hope, but the U.S. is ready to go hard in either direction!",http://twitter.com/realDonaldTrump/status/971025582061424640
"March 07, 2018 at 01:49AM",@realDonaldTrump,Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!,http://twitter.com/realDonaldTrump/status/971186041171439616
"March 07, 2018 at 11:44AM",@realDonaldTrump,"Great couple, great book! https://t.co/cLDI79rin8",http://twitter.com/realDonaldTrump/status/971335759679709185
"March 07, 2018 at 12:24PM",@realDonaldTrump,"@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad policies &amp; leadership. Must win again!  #MAGA",http://twitter.com/realDonaldTrump/status/971345895223676929
"March 07, 2018 at 12:40PM",@realDonaldTrump,"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad Policies &amp; Leadership. Must WIN again!  #MAGA",http://twitter.com/realDonaldTrump/status/971349864125788160
"March 07, 2018 at 04:10PM",@realDonaldTrump,"China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Deficit with the United States. Our relationship with China has been a very good one, and we look forward to seeing what ideas they come back with. We must act soon!",http://twitter.com/realDonaldTrump/status/971402791930552322
"March 07, 2018 at 04:38PM",@realDonaldTrump,The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!,http://twitter.com/realDonaldTrump/status/971409845453762560
"March 08, 2018 at 01:38PM",@realDonaldTrump,Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum Industries while at the same time showing great flexibility and cooperation toward those that are real friends  and treat us fairly on both trade and the military.,http://twitter.com/realDonaldTrump/status/971726862526361603
"March 08, 2018 at 07:20PM",@realDonaldTrump,"Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” https://t.co/EwYtFXGvn2",http://twitter.com/realDonaldTrump/status/971812821955735552
"March 08, 2018 at 07:58PM",@realDonaldTrump,Great meeting with @Cabinet at the @WhiteHouse today! #MAGA https://t.co/InWj0QTosz,http://twitter.com/realDonaldTrump/status/971822550757138433
"March 08, 2018 at 11:16PM",@realDonaldTrump,"“Presidential Proclamation on Adjusting Imports of Steel into the United States”
 
Proclamation: https://t.co/hxduwSoElz
Remarks: https://t.co/nypErcqFSU https://t.co/q92FDYZeUl",http://twitter.com/realDonaldTrump/status/971872339330781185
"March 08, 2018 at 11:17PM",@realDonaldTrump,"“Presidential Proclamation on Adjusting Imports of Aluminum into the United States” 
 
Proclamation: https://t.co/aCaMtOUAl0
Remarks: https://t.co/nypErcqFSU https://t.co/rcrkpvChkz",http://twitter.com/realDonaldTrump/status/971872457182326784
"March 09, 2018 at 02:08AM",@realDonaldTrump,"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missile testing by North Korea during this period of time. Great progress being made but sanctions will remain until an agreement is reached. Meeting being planned!",http://twitter.com/realDonaldTrump/status/971915531346436096
"March 09, 2018 at 05:47PM",@realDonaldTrump,"JOBS, JOBS, JOBS! #MAGA https://t.co/YAaqRcA7ZS",http://twitter.com/realDonaldTrump/status/972151933782974464
"March 09, 2018 at 09:35PM",@realDonaldTrump,Look forward to being in Pennsylvania tomorrow in support of Rick @Saccone4PA18. Big crowd expected in Moon Township. Vote Rick and see you there! #MAGA,http://twitter.com/realDonaldTrump/status/972209197935980544
"March 09, 2018 at 09:40PM",@realDonaldTrump,"That’s right @RepBost! Thank you for your support in helping put America back to work. It’s about JOBS, JOBS, JOBS for our incredible workers and putting AMERICA FIRST! https://t.co/ChUQEa6rsC",http://twitter.com/realDonaldTrump/status/972210637018423301
"March 09, 2018 at 11:48PM",@realDonaldTrump,"Spoke to PM @TurnbullMalcolm of Australia. He is committed to having a very fair and reciprocal military and trade relationship. Working very quickly on a security agreement so we don’t have to impose steel or aluminum tariffs on our ally, the great nation of Australia!",http://twitter.com/realDonaldTrump/status/972242845636669440
"March 10, 2018 at 01:42AM",@realDonaldTrump,"The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time and place to be determined.",http://twitter.com/realDonaldTrump/status/972271520847466498
"March 10, 2018 at 02:38PM",@realDonaldTrump,We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared for our Veterans.,http://twitter.com/realDonaldTrump/status/972466816114032640
"March 10, 2018 at 04:22PM",@realDonaldTrump,Chinese President XI XINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!,http://twitter.com/realDonaldTrump/status/972492834073927680
"March 10, 2018 at 04:52PM",@realDonaldTrump,"Congratulations to Kristian Saucier, a man who has served proudly in the Navy, on your newly found Freedom. Now you can go out and have the life you deserve!",http://twitter.com/realDonaldTrump/status/972500344197566465
"March 10, 2018 at 05:15PM",@realDonaldTrump,Chinese President XI JINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!,http://twitter.com/realDonaldTrump/status/972506194978983937
"March 10, 2018 at 06:23PM",@realDonaldTrump,"Spoke to Prime Minister Abe of Japan, who is very enthusiastic about talks with North Korea. Also discussing opening up Japan to much better trade with the U.S. Currently have a massive $100 Billion Trade Deficit. Not fair or sustainable. It will all work out!",http://twitter.com/realDonaldTrump/status/972523294233710593
